"collegeid";"collegename"
"1";"T.N.Rao college"
"2";"Marawadi uivercity"
"3";"Atmiya univercity"
"4";"Govt college"
"5";"Darshan univercity Rajkot"
"6";"GEC GOVT college"
"cid";"cname"
"1";"Brazil_6362"
"2";"France_7721"
"3";"Canada_8435"
"4";"Germany_9787"
"5";"Germany_2033"
"6";"Australia_4553"
"7";"UK_5211"
"8";"France_4047"
"9";"India_2996"
"10";"UK_2513"
"11";"UK_2785"
"12";"USA_3298"
"13";"China_1606"
"14";"India_9831"
"15";"China_1339"
"16";"China_8962"
"17";"India_5234"
"18";"Canada_9789"
"19";"India_3894"
"20";"Germany_3886"
"21";"Canada_2792"
"22";"Canada_9084"
"23";"France_3461"
"24";"France_2018"
"25";"Brazil_7194"
"26";"India_1529"
"27";"Canada_9308"
"28";"UK_1098"
"29";"USA_9100"
"30";"UK_1023"
"31";"USA_9545"
"32";"USA_1158"
"33";"France_8106"
"34";"Canada_8600"
"35";"Germany_9442"
"36";"Canada_2998"
"37";"Germany_7989"
"38";"Germany_7817"
"39";"France_4619"
"40";"Germany_8424"
"41";"UK_1489"
"42";"France_6470"
"43";"Australia_1546"
"44";"USA_7144"
"45";"Brazil_4829"
"46";"Germany_9465"
"47";"Australia_1383"
"48";"India_4086"
"49";"Germany_2191"
"50";"Australia_4853"
"51";"India_9506"
"52";"France_1928"
"53";"China_5081"
"54";"India_7187"
"55";"Germany_9833"
"56";"Japan_5152"
"57";"Canada_9399"
"58";"Brazil_6223"
"59";"Canada_6639"
"60";"Australia_7137"
"61";"Germany_3856"
"62";"USA_9029"
"63";"UK_1856"
"64";"Japan_8011"
"65";"India_9509"
"66";"France_9568"
"67";"India_6211"
"68";"Japan_4908"
"69";"Canada_1366"
"70";"Australia_8774"
"71";"USA_1414"
"72";"Brazil_1913"
"73";"UK_5623"
"74";"Japan_8632"
"75";"Canada_5398"
"76";"Brazil_6886"
"77";"China_1260"
"78";"China_6958"
"79";"India_3877"
"80";"Germany_2047"
"81";"Australia_4004"
"82";"Japan_3665"
"83";"France_6600"
"84";"Japan_2420"
"85";"UK_4577"
"86";"India_2183"
"87";"Germany_9290"
"88";"Canada_3874"
"89";"UK_7998"
"90";"India_9102"
"91";"Australia_1960"
"92";"Germany_9329"
"93";"Canada_6609"
"94";"Canada_5611"
"95";"China_2144"
"96";"Germany_8231"
"97";"China_2098"
"98";"Germany_1784"
"99";"UK_6012"
"100";"Brazil_8175"
"101";"Australia_2218"
"102";"China_4580"
"103";"China_4056"
"104";"France_8845"
"105";"Japan_5557"
"106";"Japan_7978"
"107";"UK_2580"
"108";"USA_4220"
"109";"Canada_2971"
"110";"Australia_9468"
"111";"China_9158"
"112";"Canada_7799"
"113";"Brazil_2765"
"114";"Australia_9342"
"115";"China_8617"
"116";"India_7645"
"117";"France_4718"
"118";"Germany_2829"
"119";"France_2296"
"120";"India_9161"
"121";"Australia_9409"
"122";"Japan_6320"
"123";"UK_8407"
"124";"Australia_3863"
"125";"France_6735"
"126";"Japan_3211"
"127";"Australia_9387"
"128";"Japan_5463"
"129";"France_1311"
"130";"Japan_2746"
"131";"UK_4387"
"132";"UK_4632"
"133";"Canada_3528"
